variant_id,parent_variant_id,candidate_id,parent_candidate_id,generation_family,event_count,event_specification,canonical_event_key,changed_fields
MI-M,MI-C,FST-MI-39,FST-MI-39,Demand-T2P combination,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",events
MI-M,MI-C,FST-MI-40,FST-MI-40,Demand-T2P combination,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",events
MI-M,MI-C,FST-MI-41,FST-MI-41,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-42,FST-MI-42,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-43,FST-MI-43,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-44,FST-MI-44,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-45,FST-MI-45,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-46,FST-MI-46,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-47,FST-MI-47,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-48,FST-MI-48,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-49,FST-MI-49,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-M,MI-C,FST-MI-50,FST-MI-50,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-01,FST-MI-01,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
MI-MD,MI-M,FST-MI-02,FST-MI-02,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
MI-MD,MI-M,FST-MI-03,FST-MI-03,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
MI-MD,MI-M,FST-MI-04,FST-MI-04,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
MI-MD,MI-M,FST-MI-05,FST-MI-05,Tier-1 supplier failure,1,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",
MI-MD,MI-M,FST-MI-06,FST-MI-06,Tier-1 supplier failure,1,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",
MI-MD,MI-M,FST-MI-07,FST-MI-07,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-08,FST-MI-08,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-09,FST-MI-09,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-10,FST-MI-10,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-11,FST-MI-11,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-12,FST-MI-12,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-13,FST-MI-13,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.65,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-14,FST-MI-14,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.65,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-15,FST-MI-15,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.8,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-16,FST-MI-16,Shared-processor failure,1,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.8,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
MI-MD,MI-M,FST-MI-17,FST-MI-17,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-18,FST-MI-18,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-19,FST-MI-19,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-20,FST-MI-20,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-21,FST-MI-21,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-22,FST-MI-22,Corridor failure,1,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-23,FST-MI-23,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-24,FST-MI-24,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-25,FST-MI-25,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-26,FST-MI-26,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-27,FST-MI-27,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-28,FST-MI-28,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-29,FST-MI-29,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.8,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-30,FST-MI-30,Simultaneous T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.8,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",events
MI-MD,MI-M,FST-MI-31,FST-MI-31,Simultaneous T2P-tier-1,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",events
MI-MD,MI-M,FST-MI-32,FST-MI-32,Simultaneous T2P-tier-1,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""},{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",events
MI-MD,MI-M,FST-MI-33,FST-MI-33,Simultaneous T2P-tier-1,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",events
MI-MD,MI-M,FST-MI-34,FST-MI-34,Simultaneous T2P-tier-1,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""},{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",events
MI-MD,MI-M,FST-MI-35,FST-MI-35,Simultaneous T2P-tier-1,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",events
MI-MD,MI-M,FST-MI-36,FST-MI-36,Simultaneous T2P-tier-1,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""},{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",events
MI-MD,MI-M,FST-MI-37,FST-MI-37,Demand-T2P combination,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",events
MI-MD,MI-M,FST-MI-38,FST-MI-38,Demand-T2P combination,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",events
MI-MD,MI-M,FST-MI-39,FST-MI-39,Demand-T2P combination,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",events
MI-MD,MI-M,FST-MI-40,FST-MI-40,Demand-T2P combination,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",events
MI-MD,MI-M,FST-MI-41,FST-MI-41,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-42,FST-MI-42,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-43,FST-MI-43,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-44,FST-MI-44,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-45,FST-MI-45,Sequential T2P-corridor,2,"[{""target"":""T2P"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-46,FST-MI-46,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-47,FST-MI-47,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-48,FST-MI-48,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-49,FST-MI-49,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.6,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
MI-MD,MI-M,FST-MI-50,FST-MI-50,Sequential corridor-T2P,2,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":15,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
